CUST_ACCT_SITE_ID,CUSTOMER_TIER3,CUSTOMER_TIER5,CUSTOMER_TIER6,CUSTOMER_COUNTRY,COUNTRY,STATE_CODE,REGION,STATE,PRIMARY_SALES_REP_NAME,LATITUDE,LONGITUDE,CITY
3,"Kilback, Stoltenberg and Mertz",Canada,S.S.S. Group,CA,CA,QC,Canada,QuŽbec,Anthony Berry,47.8191364,-69.5611735,Rivire-du-Loup
7,Carter Inc,Canada,Prasco Group,CA,CA,BC,Canada,British Columbia,Samuel Fowler,49.1879411,-124.0025429,Nanaimo
13,Wisozk LLC,Canada,Ole Group,CA,CA,ON,Canada,Ontario,Todd Roberts,43.1315785,-79.1040432,Niagara Falls
19,Buckridge Inc,Canada,Wuxi Group,CA,CA,AB,Canada,Alberta,Keith Griffin,52.4630512,-113.7286241,Lacombe
24,"Price, White and Russel",Canada,Wuxi Group,CA,CA,ON,Canada,Ontario,Anthony Berry,46.31681,-78.69957,Mattawa
29,Schmidt LLC - HIPAA ,Canada,Pure Group,CA,CA,AB,Canada,Alberta,Paul Holmes,49.71671,-113.41857,Fort Macleod
32,Bahringer Group,Canada,Uriel Group,CA,CA,NB,Canada,New Brunswick,Roger Alexander,46.2201972,-64.5346866,Shediac
36,"Torp, Reynolds and Daniel",Canada,S.S.S. Group,CA,CA,ON,Canada,Ontario,Joshua Little,45.97927,-81.9248,Little Current
44,"Labadie, Kreiger and Pollich",Canada,Wuxi Group,CA,CA,MB,Canada,Manitoba,Frank Brown,49.8634627,-97.1373403,Winnipeg
45,Steuber-Wolff,Canada,Ole Group,CA,CA,SK,Canada,Saskatchewan,Keith Griffin,51.91682,-109.13479,Kerrobert
48,"Becker, Dicki and Prosacco",Canada,S.S.S. Group,CA,CA,AB,Canada,Alberta,Donald Reynolds,53.2580126,-113.5502218,Leduc
52,Beahan LLC,Canada,Wuxi Group,CA,CA,ON,Canada,Ontario,Samuel Fowler,45.5483729,-75.2916118,Clarence-Rockland
54,Parker-Bosco - HIPAA ,Canada,Amylin Group,CA,CA,QC,Canada,QuŽbec,Joshua Ryan,46.0845,-71.9782415,Victoriaville
55,Schaden-Jerde,Canada,Uriel Group,CA,CA,QC,Canada,QuŽbec,Joshua Little,46.58624,-71.20892,Saint-Lambert-de-Lauzon
56,"Larkin, Sawayn and Feest",Canada,Pure Group,CA,CA,BC,Canada,British Columbia,George Lewis,51.29995,-116.9689,Golden
57,Sanford LLC,Canada,S.S.S. Group,CA,CA,ON,Canada,Ontario,Donald Reynolds,43.88793,-81.31145,Wingham
61,Schaden Group,Canada,Ole Group,CA,CA,QC,Canada,QuŽbec,Joe Price,48.3705292,-71.2653479,Jonquire
62,Conroy Group,Canada,Wuxi Group,CA,CA,QC,Canada,QuŽbec,Carl Nguyen,46.7530428,-71.2196569,LŽvis
64,"Cummerata, Davis and Lindgren",Canada,Ole Group,CA,CA,QC,Canada,QuŽbec,Joshua Bennett,45.5833482,-73.4372336,Boucherville
66,Deckow and Sons - HIPAA ,Canada,Amylin Group,CA,CA,MB,Canada,Manitoba,Joshua Bennett,51.1500374,-100.0497004,Dauphin
